population,epsilon,beta0,zone,weight,distance,peak_infectious,peak_day,attack_rate,n_waves,mean_alert_level
5,0.8,0.020280850337138688,sparse_periphery,0.004184300412627907,0.7227604701564616,50.0,34.0,0.896,9.0,1.9561643835616438
5,0.8,0.02306231351365579,sparse_periphery,0.003983883204950666,0.7898177271634371,63.0,161.0,0.97,10.0,2.1726027397260275
5,0.8,0.02309834824470914,sparse_periphery,0.003986490034916011,0.6314033224753428,54.0,39.0,0.99,12.0,2.208219178082192
5,0.8,0.01914795603447022,sparse_periphery,0.004510703251131363,0.7940491045617588,42.0,356.0,0.904,9.0,2.095890410958904
5,0.8,0.018915278767909608,sparse_periphery,0.004600286455972383,0.7293195645034727,63.0,30.0,0.898,8.0,1.8794520547945206
5,0.8,0.029853676996781334,sparse_periphery,0.008534138495703253,0.6975675190400185,67.0,13.0,0.982,12.0,2.106849315068493
5,0.8,0.020793522257889663,sparse_periphery,0.004087650200910984,0.7104158523253885,42.0,266.0,0.942,13.0,2.0931506849315067
5,0.8,0.025775885129526603,sparse_periphery,0.004624123182789763,0.7376345519215223,74.0,15.0,0.97,12.0,2.2164383561643834
5,0.8,0.020535715379979187,sparse_periphery,0.004132650470351722,0.6900299195595526,51.0,51.0,0.964,10.0,2.0684931506849313
5,0.8,0.026977132977477794,sparse_periphery,0.005269581836101342,0.775542654357159,78.0,27.0,0.982,11.0,1.6575342465753424
5,0.8,0.021886267007885533,sparse_periphery,0.003972950859709303,0.7032798526990083,48.0,34.0,0.946,11.0,2.128767123287671
5,0.8,0.023063646318169644,sparse_periphery,0.003983977132219277,0.6905882147938546,70.0,27.0,0.99,12.0,2.265753424657534
5,0.8,0.016829017521853874,sparse_periphery,0.005913903559527194,0.7856879897621073,46.0,17.0,0.908,11.0,1.978082191780822
5,0.8,0.024145928159095734,sparse_periphery,0.004126126724600572,0.6613872450172039,63.0,21.0,0.972,13.0,2.243835616438356
5,0.8,0.021287206497778,sparse_periphery,0.004020904089809719,0.6584500511496774,78.0,10.0,0.97,12.0,2.252054794520548
5,0.8,0.018911497662554295,sparse_periphery,0.004601814724087954,0.6936005870108369,48.0,10.0,0.928,12.0,2.2246575342465755
5,0.8,0.014635484201368953,sparse_periphery,0.00913623540426466,0.7697722283911473,37.0,38.0,0.866,9.0,1.7972602739726027
5,0.8,0.02522646162198814,sparse_periphery,0.004413448128484534,0.7777928333024272,69.0,23.0,0.978,13.0,2.1095890410958904
5,0.8,0.020326835934206085,sparse_periphery,0.004174440504068689,0.7428583047407191,53.0,16.0,0.95,11.0,2.2383561643835614
5,0.8,0.018585621709309323,sparse_periphery,0.004742801459946411,0.7144332702252818,52.0,35.0,0.932,13.0,2.0931506849315067
5,0.8,0.02561445366087428,sparse_periphery,0.004557276314492397,0.6733459771906423,66.0,299.0,0.992,11.0,2.1342465753424658
5,0.8,0.020548422541028993,sparse_periphery,0.0041302641609801995,0.6694679290363768,80.0,14.0,0.95,10.0,1.884931506849315
5,0.8,0.025939721472759924,sparse_periphery,0.004696390433409227,0.7550470024236915,66.0,177.0,0.976,13.0,2.0986301369863014
5,0.8,0.025677144734039287,sparse_periphery,0.004582731744494089,0.6824722057584172,60.0,36.0,0.98,15.0,2.3835616438356166
5,0.8,0.021989959094379365,sparse_periphery,0.003968279087966451,0.7770539416859467,67.0,14.0,0.968,12.0,2.26027397260274
5,0.8,0.02093980011858432,sparse_periphery,0.004065253264398172,0.7927578828809849,58.0,23.0,0.926,9.0,1.9972602739726026
5,0.8,0.007597543727949748,dense_periphery,0.009114992447929677,0.794192428182427,35.0,54.0,0.866,6.0,1.5835616438356164
5,0.8,0.021522327724870595,sparse_periphery,0.003997815186283235,0.5812290767856482,72.0,31.0,0.914,10.0,1.9863013698630136
5,0.8,0.01988922683284321,sparse_periphery,0.004278342018379462,0.691596162616678,39.0,11.0,0.942,14.0,2.249315068493151
5,0.8,0.02333059670783987,sparse_periphery,0.004006679988432031,0.7940306205483256,49.0,66.0,0.956,12.0,2.243835616438356
