group_id,group_label,scenario_id,zone_id,zone,beta0,run_id,policy_active,mean_peak_infectious,max_peak_infectious,n_waves,total_infections,total_dead,total_reinfections,epidemic_duration,peak_day,policy_effect,max_alert,first_alert_day,days_alert_0,days_alert_1,days_alert_2,days_alert_3,mean_compliance,mean_doctor_prob,mean_fatality_rate,mean_immunity_days,frac_public_transit,n_agents
2,b0.015_dense,1,0,dense_periphery,0.015,1,0,62.88,82.0,8,1311,12,813,364,314,0.16507633587786263,0,-1,365,0,0,0,0.2661,0.5033,0.01509,92.7,0.4672,500
2,b0.015_dense,1,0,dense_periphery,0.015,1,1,52.5,94.0,10,1282,12,782,364,324,0.16507633587786263,3,3,68,64,71,162,0.2653,0.5041,0.01532,92.4,0.4713,500
2,b0.015_dense,1,0,dense_periphery,0.015,2,0,57.78,105.0,9,1348,14,850,363,39,0.24472135687088958,0,-1,365,0,0,0,0.2747,0.5002,0.01449,89.7,0.4568,500
2,b0.015_dense,1,0,dense_periphery,0.015,2,1,43.64,91.0,14,1303,14,803,364,47,0.24472135687088958,3,4,59,42,91,173,0.28,0.5021,0.01358,89.2,0.4609,500
2,b0.015_dense,1,0,dense_periphery,0.015,3,0,70.5,112.0,6,1386,20,886,359,31,0.2567375886524823,0,-1,365,0,0,0,0.2675,0.4871,0.01529,91.2,0.4958,500
2,b0.015_dense,1,0,dense_periphery,0.015,3,1,52.4,106.0,10,1220,20,722,364,28,0.2567375886524823,3,4,135,16,69,145,0.2657,0.4893,0.01514,91.1,0.4938,500
2,b0.015_dense,1,0,dense_periphery,0.015,4,0,64.89,158.0,9,1403,12,903,364,23,0.19402065033132998,0,-1,365,0,0,0,0.2854,0.5074,0.01297,92.6,0.5307,500
2,b0.015_dense,1,0,dense_periphery,0.015,4,1,52.3,87.0,10,1287,13,788,364,164,0.19402065033132998,3,4,114,38,30,183,0.2852,0.5063,0.01269,92.8,0.5359,500
2,b0.015_dense,1,0,dense_periphery,0.015,5,0,52.89,126.0,9,1397,17,897,364,27,-0.009642654566080508,0,-1,365,0,0,0,0.2941,0.4906,0.01147,92.7,0.5114,500
2,b0.015_dense,1,0,dense_periphery,0.015,5,1,53.4,107.0,10,1211,10,713,340,31,-0.009642654566080508,3,5,59,97,50,159,0.2923,0.4925,0.01251,92.7,0.5224,500
2,b0.015_dense,1,0,dense_periphery,0.015,6,0,57.11,100.0,9,1335,6,835,334,30,0.313080021012082,0,-1,365,0,0,0,0.266,0.4836,0.01345,92.5,0.4636,500
2,b0.015_dense,1,0,dense_periphery,0.015,6,1,39.23,92.0,13,1217,8,725,364,40,0.313080021012082,3,5,51,47,114,153,0.2666,0.4838,0.01306,92.5,0.4614,500
2,b0.015_dense,1,0,dense_periphery,0.015,7,0,73.29,153.0,7,1365,15,866,358,22,0.33933688088415886,0,-1,365,0,0,0,0.2746,0.4944,0.0139,92.8,0.4722,500
2,b0.015_dense,1,0,dense_periphery,0.015,7,1,48.42,140.0,12,1315,16,818,364,24,0.33933688088415886,3,5,53,65,85,162,0.2725,0.4953,0.01423,92.7,0.4752,500
2,b0.015_dense,1,0,dense_periphery,0.015,8,0,97.2,163.0,5,1422,7,923,357,20,0.5304526748971193,0,-1,365,0,0,0,0.2717,0.5037,0.01563,90.5,0.501,500
2,b0.015_dense,1,0,dense_periphery,0.015,8,1,45.64,135.0,11,1298,13,803,364,28,0.5304526748971193,3,4,57,51,126,131,0.2705,0.5067,0.01466,90.5,0.4908,500
2,b0.015_dense,1,0,dense_periphery,0.015,9,0,53.08,108.0,12,1387,11,887,364,37,0.1348907309721175,0,-1,365,0,0,0,0.2886,0.5023,0.01272,90.5,0.4847,500
2,b0.015_dense,1,0,dense_periphery,0.015,9,1,45.92,77.0,12,1263,9,765,364,52,0.1348907309721175,3,4,70,35,74,186,0.2865,0.5017,0.0132,90.5,0.4766,500
2,b0.015_dense,1,0,dense_periphery,0.015,10,0,97.6,161.0,5,1400,6,900,358,31,0.3385245901639344,0,-1,365,0,0,0,0.2709,0.4962,0.01247,90.9,0.5223,500
2,b0.015_dense,1,0,dense_periphery,0.015,10,1,64.56,135.0,9,1344,11,844,364,30,0.3385245901639344,3,1,114,16,82,153,0.2686,0.4954,0.01198,90.9,0.5256,500
2,b0.015_dense,1,0,dense_periphery,0.015,11,0,62.0,122.0,9,1348,7,849,364,30,0.2609677419354839,0,-1,365,0,0,0,0.2733,0.504,0.01306,89.8,0.5071,500
2,b0.015_dense,1,0,dense_periphery,0.015,11,1,45.82,122.0,11,1323,13,826,364,31,0.2609677419354839,3,6,28,76,90,171,0.2723,0.5041,0.012,90.1,0.5051,500
2,b0.015_dense,1,0,dense_periphery,0.015,12,0,78.57,148.0,7,1408,10,910,364,23,0.3048237240677103,0,-1,365,0,0,0,0.2831,0.4988,0.01383,92.3,0.5143,500
2,b0.015_dense,1,0,dense_periphery,0.015,12,1,54.62,115.0,8,1275,15,781,364,42,0.3048237240677103,3,5,62,59,103,141,0.2832,0.5003,0.0131,92.0,0.5175,500
2,b0.015_dense,1,0,dense_periphery,0.015,13,0,78.33,149.0,6,1442,9,942,364,23,0.3106089620834929,0,-1,365,0,0,0,0.2773,0.4985,0.01289,90.7,0.4908,500
2,b0.015_dense,1,0,dense_periphery,0.015,13,1,54.0,106.0,9,1317,11,820,364,17,0.3106089620834929,3,6,78,55,102,130,0.2765,0.4967,0.01338,90.7,0.4949,500
2,b0.015_dense,1,0,dense_periphery,0.015,14,0,60.6,128.0,10,1368,12,870,364,39,0.12541254125412543,0,-1,365,0,0,0,0.2648,0.508,0.01387,90.4,0.5574,500
2,b0.015_dense,1,0,dense_periphery,0.015,14,1,53.0,95.0,10,1339,9,842,364,20,0.12541254125412543,3,4,56,59,84,166,0.2668,0.5089,0.01384,90.6,0.556,500
2,b0.015_dense,1,0,dense_periphery,0.015,15,0,79.5,140.0,6,1404,14,904,364,23,0.24679245283018864,0,-1,365,0,0,0,0.2553,0.4877,0.014,90.5,0.5082,500
2,b0.015_dense,1,0,dense_periphery,0.015,15,1,59.88,113.0,8,1352,16,855,364,23,0.24679245283018864,3,3,63,59,73,170,0.2558,0.4874,0.01384,90.6,0.5083,500
2,b0.015_dense,1,0,dense_periphery,0.015,16,0,64.5,127.0,8,1375,12,875,352,35,0.09116279069767445,0,-1,365,0,0,0,0.2684,0.4983,0.01349,90.4,0.502,500
2,b0.015_dense,1,0,dense_periphery,0.015,16,1,58.62,134.0,8,1291,14,796,364,41,0.09116279069767445,3,4,63,72,94,136,0.2671,0.4987,0.01267,90.1,0.5062,500
2,b0.015_dense,1,0,dense_periphery,0.015,17,0,71.43,154.0,7,1365,14,866,364,28,0.39675206495870086,0,-1,365,0,0,0,0.2846,0.4975,0.01307,92.2,0.5144,500
2,b0.015_dense,1,0,dense_periphery,0.015,17,1,43.09,99.0,11,1179,7,682,364,24,0.39675206495870086,3,5,49,72,46,198,0.2844,0.4957,0.0135,92.0,0.5152,500
2,b0.015_dense,1,0,dense_periphery,0.015,18,0,71.71,144.0,7,1399,7,899,364,36,0.3197601450285873,0,-1,365,0,0,0,0.2683,0.5001,0.01357,91.1,0.5132,500
2,b0.015_dense,1,0,dense_periphery,0.015,18,1,48.78,98.0,9,1309,7,810,364,38,0.3197601450285873,3,4,87,47,56,175,0.2676,0.5003,0.0134,91.1,0.5132,500
2,b0.015_dense,1,0,dense_periphery,0.015,19,0,59.67,116.0,9,1409,8,916,364,35,0.30383777442600973,0,-1,365,0,0,0,0.2716,0.5067,0.0136,89.8,0.498,500
2,b0.015_dense,1,0,dense_periphery,0.015,19,1,41.54,66.0,13,1288,6,794,364,56,0.30383777442600973,3,3,58,17,79,211,0.2726,0.5068,0.01407,89.6,0.4939,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,0,0,36.64,93.0,11,1031,8,542,364,54,0.25627729257641924,0,-1,365,0,0,0,0.5934,0.6511,0.01421,93.4,0.187,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,0,1,27.25,43.0,8,688,9,241,364,285,0.25627729257641924,3,2,23,114,135,93,0.5944,0.6503,0.01421,93.5,0.1853,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,1,0,45.33,75.0,9,1082,12,593,364,33,0.3878226340172071,0,-1,365,0,0,0,0.6042,0.6561,0.01274,90.5,0.1721,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,1,1,27.75,37.0,8,727,7,292,364,23,0.3878226340172071,3,5,34,105,154,72,0.6024,0.6554,0.01395,90.9,0.1744,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,2,0,52.86,102.0,7,1192,13,701,364,35,0.45894816496405594,0,-1,365,0,0,0,0.5884,0.6693,0.0146,92.7,0.2156,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,2,1,28.6,42.0,10,733,5,303,358,11,0.45894816496405594,3,4,17,70,150,128,0.5895,0.6693,0.01508,92.9,0.2162,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,3,0,41.89,60.0,9,1089,10,596,364,52,0.36906182859871095,0,-1,365,0,0,0,0.5931,0.6585,0.01372,90.6,0.1755,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,3,1,26.43,34.0,7,681,7,254,364,116,0.36906182859871095,3,6,23,125,153,64,0.5952,0.6587,0.01435,90.3,0.1765,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,4,0,36.82,84.0,11,1066,5,575,364,30,0.3107007061379685,0,-1,365,0,0,0,0.6103,0.6728,0.01536,91.1,0.2081,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,4,1,25.38,32.0,8,656,10,215,364,240,0.3107007061379685,3,6,30,90,147,98,0.6124,0.6713,0.01511,91.2,0.2061,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,5,0,42.8,75.0,10,1071,9,582,364,37,0.34252336448598125,0,-1,365,0,0,0,0.6028,0.669,0.01379,90.3,0.1792,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,5,1,28.14,36.0,7,726,7,296,364,299,0.34252336448598125,3,5,17,109,155,84,0.6003,0.6684,0.0139,90.8,0.1826,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,6,0,35.82,60.0,11,1004,11,516,364,43,0.29145728643216084,0,-1,365,0,0,0,0.5997,0.6702,0.01272,92.4,0.1759,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,6,1,25.38,36.0,8,658,7,231,364,140,0.29145728643216084,3,3,15,128,152,70,0.5988,0.6689,0.01302,92.7,0.1785,500
3,b0.015_sparse,1,1,sparse_periphery,0.015,7,0,60.86,100.0,7,1201,14,709,364,42,0.5142951035162668,0,-1,365,0,0,0,0.5958,0.6558,0.01429,92.6,0.1852,500
